ScrapeTimestamp,IndexCode,SYMBOL,NAME,LDCP,CURRENT,CHANGE,CHANGE (%),IDX WTG (%),IDX POINT,VOLUME,SHARES (M),MARKET CAP (M)
2026-07-02 06:55:06,MZNPI,PPL,Pakistan Petroleum Limited,243.74,245.51,1.77,0.73%,7.18%,17.06,"1,526,719",645,"158,346"
2026-07-02 06:55:06,MZNPI,PSO,Pakistan State Oil Company Limited,346.12,352.00,5.88,1.70%,3.91%,21.54,"1,244,255",245,"86,279"
2026-07-02 06:55:06,MZNPI,HUBC,The Hub Power Company Limited,233.14,234.50,1.36,0.58%,10.81%,20.65,"1,066,169","1,016","238,219"
2026-07-02 06:55:06,MZNPI,FFC,Fauji Fertilizer Company Limited,572.17,577.00,4.83,0.84%,14.87%,40.99,"1,024,471",568,"327,672"
2026-07-02 06:55:06,MZNPI,MEBL,Meezan Bank Limited,553.45,558.45,5.00,0.90%,11.91%,35.12,"913,698",470,"262,489"
2026-07-02 06:55:06,MZNPI,MARI,Mari Energies Limited,673.75,673.89,0.14,0.02%,7.07%,0.48,"461,987",231,"155,895"
2026-07-02 06:55:06,MZNPI,ATRL,Attock Refinery Limited,873.63,879.80,6.17,0.71%,3.27%,7.55,"172,548",82,"72,013"
2026-07-02 06:55:06,JSMFI,MLCF,Maple Leaf Cement Factory Limited,107.43,109.02,1.59,1.48%,15.57%,103.45,"12,958,449","1,330","145,021"
2026-07-02 06:55:06,JSMFI,PTC,Pakistan Telecommunication Company Ltd,72.07,72.34,0.27,0.38%,6.04%,10.26,"9,544,492",777,"56,215"
2026-07-02 06:55:06,JSMFI,DGKC,D.G. Khan Cement Company Limited,227.14,229.32,2.18,0.96%,17.74%,76.84,"4,454,040",721,"165,263"
2026-07-02 06:55:06,JSMFI,FCCL,Fauji Cement Company Limited,59.28,59.50,0.22,0.37%,6.41%,10.80,"2,712,123","1,004","59,726"
2026-07-02 06:55:06,JSMFI,TRG,TRG Pakistan Limited,64.31,65.39,1.08,1.68%,5.58%,42.00,"2,342,830",795,"51,991"
2026-07-02 06:55:06,JSMFI,PPL,Pakistan Petroleum Limited,243.74,245.51,1.77,0.73%,19.09%,62.70,"1,526,719",724,"177,809"
2026-07-02 06:55:06,JSMFI,FFC,Fauji Fertilizer Company Limited,572.17,577.00,4.83,0.84%,12.26%,46.73,"1,024,471",198,"114,144"
2026-07-02 06:55:06,JSMFI,AIRLINK,Air Link Communication Limited,158.59,159.40,0.81,0.51%,3.19%,7.39,"344,574",187,"29,743"
2026-07-02 06:55:06,JSMFI,FCEPL,Frieslandcampina Engro Pakistan Limited,112.76,112.35,-0.41,-0.36%,2.92%,-4.86,"162,997",242,"27,240"
2026-07-02 06:55:06,JSMFI,SAZEW,Sazgar Engineering Works Limited,"2,088.03","2,106.00",17.97,0.86%,11.19%,43.48,"27,153",49,"104,181"
2026-07-02 06:55:06,ACI,MLCF,Maple Leaf Cement Factory Limited,107.43,109.00,1.57,1.46%,9.06%,32.30,"13,052,604",645,"70,283"
2026-07-02 06:55:06,ACI,SEARL,The Searle Company Limited,94.58,97.80,3.22,3.41%,4.41%,35.94,"5,892,285",350,"34,212"
